,trial,start_time,end_time,key,reaction_time
0,giep,2.71290212997701,3.8902354129822925,m,1.1773332830052823
1,slont,5.40509703301359,6.461374640930444,z,1.0562776079168543
2,labber,7.976299935020506,8.710750276921317,z,0.7344503419008106
3,recht,10.223836892982945,10.999198716017418,m,0.7753618230344728
4,hield,12.513402572949417,13.426848085946403,m,0.9134455129969865
5,buidels,14.940462831989862,16.225498824962415,z,1.2850359929725528
6,women,17.739449077984318,18.056565732927993,z,0.3171166549436748
7,millag,19.569742042920552,20.594538350007497,m,1.0247963070869446
8,boek,22.107880677911453,22.910286366939545,m,0.8024056890280917
9,goont,24.423278308007866,25.129925717017613,z,0.7066474090097472
10,gals,26.642661312012933,27.525806084973738,m,0.8831447729608044
11,polders,29.038335012970492,29.60437971795909,z,0.5660447049885988
12,jugen,31.11893113097176,31.942394118988886,z,0.8234629880171269
13,brum,33.45628414291423,34.45970121596474,m,1.0034170730505139
14,imams,35.972253212938085,36.690719458973035,z,0.71846624603495
15,plan,38.20374388701748,38.904846970923245,z,0.7011030839057639
16,ponten,40.4179491099203,41.09473460994195,m,0.6767855000216514
17,hese,42.608704408979975,43.35053990094457,z,0.7418354919645935
18,baby,44.86363019794226,45.783437507925555,z,0.9198073099832982
19,geslonden,47.297963476972654,48.018557698931545,m,0.7205942219588906
