,trial,start_time,end_time,key,reaction_time
0,slont,2.670270428992808,3.5277100109960884,m,0.8574395820032805
1,women,5.04163921601139,5.747290208004415,m,0.705650991993025
2,brum,7.261387659003958,7.949760933057405,m,0.688373274053447
3,hield,9.46426394500304,9.99676944501698,m,0.53250550001394
4,boek,11.510298870038241,11.93237026699353,m,0.42207139695528895
5,buidels,13.44660736399237,17.05123863602057,m,3.6046312720282003
6,goont,18.569976947037503,19.436173939029686,m,0.866196991992183
7,recht,20.950248426990584,21.35995700105559,m,0.40970857406500727
8,labber,22.873913896037266,23.250292051001452,m,0.37637815496418625
9,hese,24.76418519206345,25.207740633981302,m,0.44355544191785157
10,ponten,26.72097779903561,27.053030506009236,m,0.3320527069736272
11,plan,28.56644993601367,28.97627911006566,m,0.4098291740519926
12,geslonden,30.490441428963095,30.855082973022945,m,0.3646415440598503
13,jugen,32.36799611104652,32.654925988055766,m,0.2869298770092428
14,polders,34.168856624979526,34.52786376303993,m,0.35900713806040585
15,imams,36.042684396961704,36.26601768704131,m,0.22333329007960856
16,gals,37.78031598799862,38.213160458020866,m,0.43284447002224624
17,baby,39.727111062034965,40.2486201999709,m,0.5215091379359365
18,millag,41.76311081403401,42.31897498900071,m,0.5558641749667004
19,giep,43.83273992803879,44.20951754099224,m,0.3767776129534468
