,trial,start_time,end_time,key,reaction_time
0,millag,2.7589034519623965,3.743332015001215,m,0.9844285630388185
1,ponten,5.258057296043262,6.04449391795788,z,0.7864366219146177
2,plan,7.557791339000687,8.467773671029136,m,0.9099823320284486
3,labber,9.982136534992605,11.323807536042295,z,1.34167100104969
4,women,12.838088387972675,13.894028504029848,z,1.0559401160571724
5,polders,15.407260345062241,16.323646537028253,m,0.9163861919660121
6,recht,17.836349235032685,18.724413953954354,m,0.8880647189216688
7,slont,20.23796558205504,21.412421989021823,m,1.174456406966783
8,goont,22.92845824197866,24.09202372597065,z,1.163565483991988
9,giep,25.606852779048495,26.251613685977645,z,0.6447609069291502
10,hese,27.765440840972587,28.307672571972944,m,0.5422317310003564
11,boek,29.820481598027982,30.49175817205105,m,0.671276574023068
12,gals,32.00420182803646,32.539848159998655,m,0.535646331962198
13,brum,34.05384560395032,34.59603915200569,z,0.5421935480553657
14,jugen,36.11265500006266,36.85246881702915,z,0.739813816966489
15,imams,38.36591130797751,38.7316592639545,z,0.3657479559769854
16,buidels,40.2448598400224,40.683711434016004,z,0.4388515939936042
17,geslonden,42.19716137601063,42.69952489703428,z,0.5023635210236534
18,baby,44.212732446030714,44.59594680205919,m,0.38321435602847487
19,hield,46.10883308504708,46.74042675003875,m,0.6315936649916694
