,trial,start_time,end_time,key,reaction_time
0,buidels,2.7435856770025566,3.7753604078898206,m,1.031774730887264
1,ponten,5.28942583699245,6.024572518886998,z,0.7351466818945482
2,giep,7.538410413893871,8.28792703396175,m,0.7495166200678796
3,imams,9.801508947974071,10.616005490999669,z,0.8144965430255979
4,polders,12.130128732998855,12.84369834489189,z,0.7135696118930355
5,plan,14.357246769941412,15.07210597093217,z,0.7148592009907588
6,brum,16.586307357996702,17.199950593989342,m,0.6136432359926403
7,hese,18.71440444595646,19.50397747196257,m,0.78957302600611
8,baby,21.017393757938407,21.76772678690031,z,0.7503330289619043
9,gals,23.28196767391637,24.263819469953887,z,0.9818517960375175
10,goont,25.777066412963904,26.64013521198649,m,0.8630687990225852
11,millag,28.15359721693676,28.856078117969446,z,0.7024809010326862
12,jugen,30.37013215094339,31.28809228190221,z,0.9179601309588179
13,hield,32.801604833919555,33.535782815888524,m,0.7341779819689691
14,women,35.04842478095088,35.7119741399074,m,0.6635493589565158
15,slont,37.22538353991695,37.98388034990057,z,0.758496809983626
16,geslonden,39.49764786695596,40.35976605094038,z,0.8621181839844212
17,recht,41.87406398891471,42.65652717789635,m,0.7824631889816374
18,labber,44.16975041490514,44.90397696092259,m,0.7342265460174531
19,boek,46.4172294678865,47.143857540911995,z,0.7266280730254948
